Coil_ID, X [m], Y [m], Z [m]
1, 7.000000, 0.000000, 0.000000
1, 7.001615, 0.015096, 0.008798
1, 7.003067, 0.030225, 0.017601
1, 7.004355, 0.045386, 0.026406
1, 7.005478, 0.060575, 0.035214
1, 7.006437, 0.075793, 0.044023
1, 7.007230, 0.091036, 0.052834
1, 7.007857, 0.106305, 0.061646
1, 7.008317, 0.121597, 0.070458
1, 7.008610, 0.136910, 0.079269
1, 7.008736, 0.152244, 0.088079
1, 7.008694, 0.167595, 0.096887
1, 7.008483, 0.182964, 0.105693
1, 7.008104, 0.198347, 0.114497
1, 7.007555, 0.213744, 0.123296
1, 7.006837, 0.229153, 0.132091
1, 7.005949, 0.244572, 0.140882
1, 7.004891, 0.259999, 0.149667
1, 7.003662, 0.275433, 0.158446
1, 7.002262, 0.290873, 0.167219
1, 7.000691, 0.306315, 0.175984
1, 6.998948, 0.321760, 0.184741
1, 6.997034, 0.337204, 0.193489
1, 6.994948, 0.352647, 0.202229
1, 6.992690, 0.368086, 0.210959
1, 6.990260, 0.383520, 0.219678
1, 6.987657, 0.398947, 0.228386
1, 6.984882, 0.414365, 0.237082
1, 6.981934, 0.429773, 0.245767
1, 6.978814, 0.445169, 0.254438
1, 6.975520, 0.460551, 0.263096
1, 6.972054, 0.475918, 0.271739
1, 6.968415, 0.491267, 0.280368
1, 6.964603, 0.506596, 0.288981
1, 6.960618, 0.521905, 0.297578
1, 6.956461, 0.537191, 0.306159
1, 6.952130, 0.552453, 0.314722
1, 6.947627, 0.567688, 0.323267
1, 6.942951, 0.582895, 0.331793
1, 6.938103, 0.598072, 0.340301
1, 6.933083, 0.613218, 0.348789
1, 6.927891, 0.628330, 0.357256
1, 6.922526, 0.643406, 0.365702
1, 6.916990, 0.658446, 0.374126
1, 6.911282, 0.673447, 0.382529
1, 6.905404, 0.688407, 0.390908
1, 6.899354, 0.703324, 0.399264
1, 6.893134, 0.718198, 0.407596
1, 6.886743, 0.733025, 0.415903
1, 6.880183, 0.747804, 0.424185
1, 6.873453, 0.762533, 0.432441
1, 6.866554, 0.777211, 0.440671
1, 6.859486, 0.791836, 0.448873
1, 6.852250, 0.806405, 0.457048
1, 6.844846, 0.820917, 0.465195
1, 6.837275, 0.835371, 0.473312
1, 6.829537, 0.849764, 0.481401
1, 6.821633, 0.864095, 0.489459
1, 6.813563, 0.878361, 0.497487
1, 6.805328, 0.892562, 0.505484
1, 6.796928, 0.906695, 0.513450
1, 6.788365, 0.920758, 0.521383
1, 6.779639, 0.934750, 0.529283
1, 6.770750, 0.948669, 0.537150
1, 6.761699, 0.962513, 0.544984
1, 6.752487, 0.976280, 0.552783
1, 6.743115, 0.989969, 0.560547
1, 6.733583, 1.003578, 0.568275
1, 6.723893, 1.017105, 0.575968
1, 6.714045, 1.030548, 0.583624
1, 6.704039, 1.043905, 0.591244
1, 6.693877, 1.057176, 0.598826
1, 6.683560, 1.070357, 0.606370
1, 6.673089, 1.083448, 0.613875
1, 6.662464, 1.096446, 0.621342
1, 6.651686, 1.109350, 0.628769
1, 6.640757, 1.122159, 0.636157
1, 6.629677, 1.134870, 0.643504
1, 6.618448, 1.147481, 0.650811
1, 6.607070, 1.159992, 0.658076
1, 6.595545, 1.172401, 0.665299
1, 6.583873, 1.184705, 0.672481
1, 6.572057, 1.196903, 0.679620
1, 6.560096, 1.208993, 0.686716
1, 6.547992, 1.220975, 0.693768
1, 6.535746, 1.232845, 0.700777
1, 6.523360, 1.244604, 0.707742
1, 6.510834, 1.256248, 0.714662
1, 6.498171, 1.267777, 0.721538
1, 6.485370, 1.279188, 0.728368
1, 6.472434, 1.290481, 0.735152
1, 6.459363, 1.301653, 0.741891
1, 6.446160, 1.312703, 0.748583
1, 6.432825, 1.323630, 0.755228
1, 6.419360, 1.334432, 0.761826
1, 6.405766, 1.345108, 0.768377
1, 6.392044, 1.355656, 0.774881
1, 6.378197, 1.366074, 0.781336
1, 6.364224, 1.376362, 0.787743
1, 6.350129, 1.386517, 0.794102
1, 6.335912, 1.396538, 0.800412
1, 6.321575, 1.406424, 0.806673
1, 6.307120, 1.416173, 0.812884
1, 6.292547, 1.425785, 0.819046
1, 6.277859, 1.435257, 0.825158
1, 6.263056, 1.444588, 0.831220
1, 6.248142, 1.453777, 0.837232
1, 6.233116, 1.462823, 0.843194
1, 6.217982, 1.471724, 0.849104
1, 6.202740, 1.480479, 0.854964
1, 6.187392, 1.489087, 0.860773
1, 6.171941, 1.497546, 0.866531
1, 6.156386, 1.505855, 0.872237
1, 6.140732, 1.514013, 0.877892
1, 6.124978, 1.522019, 0.883496
1, 6.109126, 1.529871, 0.889047
1, 6.093180, 1.537569, 0.894547
1, 6.077140, 1.545111, 0.899995
1, 6.061007, 1.552495, 0.905391
1, 6.044785, 1.559722, 0.910735
1, 6.028474, 1.566790, 0.916026
1, 6.012077, 1.573698, 0.921266
1, 5.995596, 1.580444, 0.926453
1, 5.979031, 1.587028, 0.931588
1, 5.962386, 1.593448, 0.936670
1, 5.945662, 1.599704, 0.941700
1, 5.928861, 1.605795, 0.946678
1, 5.911984, 1.611720, 0.951604
1, 5.895035, 1.617477, 0.956477
1, 5.878014, 1.623067, 0.961298
1, 5.860924, 1.628487, 0.966066
1, 5.843766, 1.633737, 0.970783
1, 5.826543, 1.638817, 0.975447
1, 5.809257, 1.643725, 0.980059
1, 5.791909, 1.648461, 0.984620
1, 5.774502, 1.653023, 0.989128
1, 5.757037, 1.657412, 0.993585
1, 5.739517, 1.661626, 0.997990
1, 5.721944, 1.665665, 1.002344
1, 5.704319, 1.669528, 1.006647
1, 5.686645, 1.673213, 1.010898
1, 5.668924, 1.676722, 1.015098
